Year,Quarter,Month,Month_Num,Market,Category,Brand,Channel,Type,Base_NR_AUD000,Trade_Promo_AUD000,Net_Revenue_AUD000,COGS_AUD000,Gross_Profit_AUD000,OPEX_AUD000,EBITDA_AUD000,Volume_Units,Budget_NR_AUD000,Variance_NR_AUD000,PY_NR_AUD000
2023,Q1,Jan,1,LATAM,Pro Plan,Pro Plan,Marketplace,SaaS,874.0,53.0,821.0,187.0,634.0,320.0,314.0,226,821.0,0.0,849.0
2023,Q1,Jan,1,LATAM,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,877.0,44.0,833.0,282.0,551.0,313.0,238.0,314,891.0,-58.0,779.0
2023,Q1,Jan,1,MEA,Starter Plan,Starter Plan,Partner,SaaS,3873.0,117.0,3756.0,1166.0,2590.0,1251.0,1339.0,244,3864.0,-108.0,4046.0
2023,Q1,Jan,1,MEA,Pro Plan,Pro Plan,Partner,SaaS,2921.0,113.0,2808.0,905.0,1903.0,746.0,1157.0,345,2902.0,-94.0,2518.0
2023,Q1,Jan,1,MEA,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,1965.0,119.0,1846.0,561.0,1285.0,530.0,755.0,229,1801.0,45.0,1640.0
2023,Q1,Feb,2,North America,Starter Plan,Starter Plan,Partner,SaaS,984.0,59.0,925.0,308.0,617.0,302.0,315.0,429,944.0,-19.0,827.0
2023,Q1,Feb,2,North America,Pro Plan,Pro Plan,Partner,SaaS,1203.0,74.0,1129.0,275.0,854.0,341.0,513.0,352,1260.0,-131.0,1123.0
2023,Q1,Feb,2,North America,Enterprise Plan,Enterprise Plan,Partner,SaaS,2264.0,147.0,2117.0,526.0,1591.0,566.0,1025.0,208,2129.0,-12.0,2056.0
2023,Q1,Feb,2,Europe,Starter Plan,Starter Plan,Marketplace,SaaS,2860.0,214.0,2646.0,741.0,1905.0,1010.0,895.0,240,2389.0,257.0,2201.0
2023,Q1,Feb,2,Europe,Pro Plan,Pro Plan,Marketplace,SaaS,1009.0,64.0,945.0,217.0,728.0,343.0,385.0,122,910.0,35.0,827.0
2023,Q1,Feb,2,Europe,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,2917.0,131.0,2786.0,872.0,1914.0,710.0,1204.0,416,2570.0,216.0,2954.0
2023,Q1,Feb,2,APAC,Starter Plan,Starter Plan,Partner,SaaS,3098.0,180.0,2918.0,688.0,2230.0,1073.0,1157.0,409,2811.0,107.0,2916.0
2023,Q1,Feb,2,APAC,Pro Plan,Pro Plan,Marketplace,SaaS,1856.0,144.0,1712.0,593.0,1119.0,508.0,611.0,298,1546.0,166.0,1499.0
2023,Q1,Feb,2,APAC,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,3405.0,257.0,3148.0,962.0,2186.0,1093.0,1093.0,389,3212.0,-64.0,3088.0
2023,Q1,Feb,2,LATAM,Starter Plan,Starter Plan,Partner,SaaS,1530.0,59.0,1471.0,445.0,1026.0,409.0,617.0,128,1490.0,-19.0,1343.0
2023,Q1,Feb,2,LATAM,Pro Plan,Pro Plan,Marketplace,SaaS,1477.0,64.0,1413.0,317.0,1096.0,533.0,563.0,52,1417.0,-4.0,1528.0
2023,Q1,Feb,2,LATAM,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,1038.0,48.0,990.0,206.0,784.0,386.0,398.0,327,1035.0,-45.0,938.0
2023,Q1,Feb,2,MEA,Starter Plan,Starter Plan,Self-Serve,SaaS,755.0,49.0,706.0,197.0,509.0,278.0,231.0,284,758.0,-52.0,599.0
2023,Q1,Feb,2,MEA,Pro Plan,Pro Plan,Marketplace,SaaS,822.0,34.0,788.0,183.0,605.0,236.0,369.0,212,747.0,41.0,808.0
2023,Q1,Feb,2,MEA,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,3988.0,284.0,3704.0,1286.0,2418.0,931.0,1487.0,351,3697.0,7.0,3968.0
2023,Q1,Mar,3,North America,Starter Plan,Starter Plan,Partner,SaaS,3856.0,247.0,3609.0,896.0,2713.0,1398.0,1315.0,475,3554.0,55.0,3472.0
2023,Q1,Mar,3,North America,Pro Plan,Pro Plan,Self-Serve,SaaS,586.0,33.0,553.0,175.0,378.0,181.0,197.0,278,557.0,-4.0,492.0
2023,Q1,Mar,3,North America,Enterprise Plan,Enterprise Plan,Partner,SaaS,1621.0,55.0,1566.0,336.0,1230.0,620.0,610.0,397,1593.0,-27.0,1547.0
2023,Q1,Mar,3,Europe,Starter Plan,Starter Plan,Partner,SaaS,2846.0,195.0,2651.0,874.0,1777.0,831.0,946.0,96,2700.0,-49.0,2680.0
2023,Q1,Mar,3,Europe,Pro Plan,Pro Plan,Marketplace,SaaS,2763.0,213.0,2550.0,796.0,1754.0,696.0,1058.0,256,2481.0,69.0,2107.0
2023,Q1,Mar,3,Europe,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,1123.0,48.0,1075.0,226.0,849.0,401.0,448.0,459,1064.0,11.0,1005.0
2023,Q1,Mar,3,APAC,Starter Plan,Starter Plan,Marketplace,SaaS,2016.0,62.0,1954.0,588.0,1366.0,645.0,721.0,338,2024.0,-70.0,2006.0
2023,Q1,Mar,3,APAC,Pro Plan,Pro Plan,Direct Sales,SaaS,2953.0,99.0,2854.0,968.0,1886.0,759.0,1127.0,404,2758.0,96.0,2357.0
2023,Q1,Mar,3,APAC,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,1835.0,130.0,1705.0,349.0,1356.0,466.0,890.0,148,1815.0,-110.0,1772.0
2023,Q1,Mar,3,LATAM,Starter Plan,Starter Plan,Self-Serve,SaaS,3860.0,144.0,3716.0,1121.0,2595.0,1439.0,1156.0,407,3941.0,-225.0,3389.0
2023,Q1,Mar,3,LATAM,Pro Plan,Pro Plan,Direct Sales,SaaS,2437.0,141.0,2296.0,502.0,1794.0,576.0,1218.0,318,2338.0,-42.0,2489.0
2023,Q1,Mar,3,LATAM,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,1235.0,83.0,1152.0,356.0,796.0,325.0,471.0,457,1253.0,-101.0,971.0
2023,Q1,Mar,3,MEA,Starter Plan,Starter Plan,Partner,SaaS,1273.0,91.0,1182.0,271.0,911.0,328.0,583.0,409,1285.0,-103.0,1248.0
2023,Q1,Mar,3,MEA,Pro Plan,Pro Plan,Marketplace,SaaS,2756.0,93.0,2663.0,801.0,1862.0,766.0,1096.0,138,2737.0,-74.0,2891.0
2023,Q1,Mar,3,MEA,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,949.0,60.0,889.0,191.0,698.0,305.0,393.0,455,862.0,27.0,831.0
2023,Q2,Apr,4,North America,Starter Plan,Starter Plan,Self-Serve,SaaS,2927.0,110.0,2817.0,803.0,2014.0,1046.0,968.0,481,2640.0,177.0,2518.0
2023,Q2,Apr,4,North America,Pro Plan,Pro Plan,Partner,SaaS,2993.0,186.0,2807.0,678.0,2129.0,853.0,1276.0,355,2731.0,76.0,2650.0
2023,Q2,Apr,4,North America,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,1756.0,80.0,1676.0,474.0,1202.0,463.0,739.0,322,1819.0,-143.0,1773.0
2023,Q2,Apr,4,Europe,Starter Plan,Starter Plan,Partner,SaaS,3620.0,144.0,3476.0,1078.0,2398.0,1196.0,1202.0,377,3811.0,-335.0,3667.0
2023,Q2,Apr,4,Europe,Pro Plan,Pro Plan,Direct Sales,SaaS,3344.0,197.0,3147.0,993.0,2154.0,887.0,1267.0,66,3013.0,134.0,3362.0
2023,Q2,Apr,4,Europe,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,2789.0,104.0,2685.0,695.0,1990.0,1030.0,960.0,315,2923.0,-238.0,2256.0
2023,Q2,Apr,4,APAC,Starter Plan,Starter Plan,Direct Sales,SaaS,1889.0,104.0,1785.0,534.0,1251.0,673.0,578.0,412,1848.0,-63.0,1517.0
2023,Q2,Apr,4,APAC,Pro Plan,Pro Plan,Partner,SaaS,2062.0,80.0,1982.0,678.0,1304.0,692.0,612.0,485,2105.0,-123.0,1873.0
2023,Q2,Apr,4,APAC,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,641.0,44.0,597.0,140.0,457.0,173.0,284.0,155,625.0,-28.0,570.0
2023,Q2,Apr,4,LATAM,Starter Plan,Starter Plan,Self-Serve,SaaS,1858.0,141.0,1717.0,570.0,1147.0,440.0,707.0,341,1584.0,133.0,1872.0
2023,Q2,Apr,4,LATAM,Pro Plan,Pro Plan,Self-Serve,SaaS,3422.0,148.0,3274.0,922.0,2352.0,904.0,1448.0,344,3210.0,64.0,3261.0
2023,Q2,Apr,4,LATAM,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,2308.0,113.0,2195.0,738.0,1457.0,719.0,738.0,208,2395.0,-200.0,2077.0
2023,Q2,Apr,4,MEA,Starter Plan,Starter Plan,Marketplace,SaaS,3605.0,109.0,3496.0,1162.0,2334.0,1105.0,1229.0,153,3542.0,-46.0,3091.0
2023,Q2,Apr,4,MEA,Pro Plan,Pro Plan,Partner,SaaS,1154.0,56.0,1098.0,338.0,760.0,294.0,466.0,153,1184.0,-86.0,1116.0
2023,Q2,Apr,4,MEA,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,2863.0,154.0,2709.0,782.0,1927.0,940.0,987.0,234,2583.0,126.0,2271.0
2023,Q2,May,5,North America,Starter Plan,Starter Plan,Partner,SaaS,972.0,54.0,918.0,306.0,612.0,250.0,362.0,124,1012.0,-94.0,877.0
2023,Q2,May,5,North America,Pro Plan,Pro Plan,Marketplace,SaaS,2598.0,151.0,2447.0,496.0,1951.0,876.0,1075.0,347,2355.0,92.0,2021.0
2023,Q2,May,5,North America,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,2623.0,141.0,2482.0,676.0,1806.0,702.0,1104.0,234,2312.0,170.0,2419.0
2023,Q2,May,5,Europe,Starter Plan,Starter Plan,Partner,SaaS,2681.0,149.0,2532.0,570.0,1962.0,893.0,1069.0,465,2611.0,-79.0,2078.0
2023,Q2,May,5,Europe,Pro Plan,Pro Plan,Marketplace,SaaS,1849.0,66.0,1783.0,411.0,1372.0,676.0,696.0,276,1769.0,14.0,1506.0
2023,Q2,May,5,Europe,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,1121.0,84.0,1037.0,301.0,736.0,396.0,340.0,289,1105.0,-68.0,859.0
2023,Q2,May,5,APAC,Starter Plan,Starter Plan,Partner,SaaS,3657.0,208.0,3449.0,690.0,2759.0,1347.0,1412.0,355,3432.0,17.0,3194.0
2023,Q2,May,5,APAC,Pro Plan,Pro Plan,Direct Sales,SaaS,2942.0,151.0,2791.0,951.0,1840.0,900.0,940.0,395,2727.0,64.0,2907.0
2023,Q2,May,5,APAC,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,1989.0,85.0,1904.0,600.0,1304.0,736.0,568.0,87,1964.0,-60.0,1834.0
2023,Q2,May,5,LATAM,Starter Plan,Starter Plan,Self-Serve,SaaS,1162.0,76.0,1086.0,346.0,740.0,366.0,374.0,103,979.0,107.0,1082.0
2023,Q2,May,5,LATAM,Pro Plan,Pro Plan,Self-Serve,SaaS,1931.0,68.0,1863.0,492.0,1371.0,629.0,742.0,167,1896.0,-33.0,1806.0
2023,Q2,May,5,LATAM,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,3971.0,198.0,3773.0,870.0,2903.0,1256.0,1647.0,300,3544.0,229.0,3651.0
2023,Q2,May,5,MEA,Starter Plan,Starter Plan,Marketplace,SaaS,1388.0,63.0,1325.0,333.0,992.0,471.0,521.0,381,1442.0,-117.0,1322.0
2023,Q2,May,5,MEA,Pro Plan,Pro Plan,Partner,SaaS,2063.0,134.0,1929.0,433.0,1496.0,544.0,952.0,230,1880.0,49.0,1862.0
2023,Q2,May,5,MEA,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,1063.0,83.0,980.0,197.0,783.0,258.0,525.0,115,1082.0,-102.0,912.0
2023,Q2,Jun,6,North America,Starter Plan,Starter Plan,Direct Sales,SaaS,1421.0,69.0,1352.0,394.0,958.0,485.0,473.0,468,1336.0,16.0,1348.0
2023,Q2,Jun,6,North America,Pro Plan,Pro Plan,Self-Serve,SaaS,2991.0,179.0,2812.0,961.0,1851.0,1049.0,802.0,338,2802.0,10.0,2420.0
2023,Q2,Jun,6,North America,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,1182.0,82.0,1100.0,304.0,796.0,390.0,406.0,326,1153.0,-53.0,999.0
2023,Q2,Jun,6,Europe,Starter Plan,Starter Plan,Direct Sales,SaaS,3915.0,134.0,3781.0,913.0,2868.0,1172.0,1696.0,351,3740.0,41.0,3252.0
2023,Q2,Jun,6,Europe,Pro Plan,Pro Plan,Direct Sales,SaaS,3079.0,103.0,2976.0,635.0,2341.0,871.0,1470.0,423,3277.0,-301.0,2692.0
2023,Q2,Jun,6,Europe,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,1292.0,101.0,1191.0,319.0,872.0,370.0,502.0,52,1118.0,73.0,1134.0
2023,Q2,Jun,6,APAC,Starter Plan,Starter Plan,Direct Sales,SaaS,2261.0,106.0,2155.0,469.0,1686.0,705.0,981.0,165,2195.0,-40.0,2237.0
2023,Q2,Jun,6,APAC,Pro Plan,Pro Plan,Self-Serve,SaaS,2930.0,229.0,2701.0,768.0,1933.0,987.0,946.0,390,3002.0,-301.0,2533.0
2023,Q2,Jun,6,APAC,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,3638.0,266.0,3372.0,918.0,2454.0,973.0,1481.0,222,3620.0,-248.0,2921.0
2023,Q2,Jun,6,LATAM,Starter Plan,Starter Plan,Partner,SaaS,3301.0,167.0,3134.0,793.0,2341.0,1035.0,1306.0,365,3002.0,132.0,2777.0
2023,Q2,Jun,6,LATAM,Pro Plan,Pro Plan,Marketplace,SaaS,2858.0,203.0,2655.0,561.0,2094.0,1035.0,1059.0,264,2596.0,59.0,2836.0
2023,Q2,Jun,6,LATAM,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,1140.0,77.0,1063.0,361.0,702.0,296.0,406.0,381,1012.0,51.0,928.0
2023,Q2,Jun,6,MEA,Starter Plan,Starter Plan,Self-Serve,SaaS,1224.0,49.0,1175.0,279.0,896.0,403.0,493.0,120,1085.0,90.0,1264.0
2023,Q2,Jun,6,MEA,Pro Plan,Pro Plan,Marketplace,SaaS,2648.0,181.0,2467.0,694.0,1773.0,632.0,1141.0,267,2557.0,-90.0,2338.0
2023,Q2,Jun,6,MEA,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,2218.0,176.0,2042.0,689.0,1353.0,596.0,757.0,149,2097.0,-55.0,1667.0
2023,Q3,Jul,7,North America,Starter Plan,Starter Plan,Marketplace,SaaS,2174.0,124.0,2050.0,565.0,1485.0,634.0,851.0,358,1924.0,126.0,2241.0
2023,Q3,Jul,7,North America,Pro Plan,Pro Plan,Marketplace,SaaS,1605.0,49.0,1556.0,469.0,1087.0,478.0,609.0,95,1524.0,32.0,1647.0
2023,Q3,Jul,7,North America,Enterprise Plan,Enterprise Plan,Partner,SaaS,2420.0,101.0,2319.0,628.0,1691.0,793.0,898.0,214,2342.0,-23.0,2002.0
2023,Q3,Jul,7,Europe,Starter Plan,Starter Plan,Self-Serve,SaaS,1778.0,89.0,1689.0,452.0,1237.0,567.0,670.0,490,1775.0,-86.0,1764.0
2023,Q3,Jul,7,Europe,Pro Plan,Pro Plan,Self-Serve,SaaS,3314.0,191.0,3123.0,1026.0,2097.0,873.0,1224.0,410,3318.0,-195.0,2942.0
2023,Q3,Jul,7,Europe,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,1118.0,61.0,1057.0,369.0,688.0,399.0,289.0,282,1119.0,-62.0,1095.0
2023,Q3,Jul,7,APAC,Starter Plan,Starter Plan,Self-Serve,SaaS,1378.0,100.0,1278.0,265.0,1013.0,338.0,675.0,123,1211.0,67.0,1120.0
2023,Q3,Jul,7,APAC,Pro Plan,Pro Plan,Direct Sales,SaaS,2074.0,97.0,1977.0,502.0,1475.0,660.0,815.0,469,1891.0,86.0,1593.0
2023,Q3,Jul,7,APAC,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,1729.0,111.0,1618.0,471.0,1147.0,545.0,602.0,342,1648.0,-30.0,1770.0
2023,Q3,Jul,7,LATAM,Starter Plan,Starter Plan,Self-Serve,SaaS,1743.0,111.0,1632.0,446.0,1186.0,588.0,598.0,450,1606.0,26.0,1446.0
2023,Q3,Jul,7,LATAM,Pro Plan,Pro Plan,Partner,SaaS,3539.0,220.0,3319.0,1126.0,2193.0,1040.0,1153.0,325,3283.0,36.0,3558.0
2023,Q3,Jul,7,LATAM,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,1067.0,44.0,1023.0,253.0,770.0,300.0,470.0,170,1066.0,-43.0,902.0
2023,Q3,Jul,7,MEA,Starter Plan,Starter Plan,Marketplace,SaaS,3233.0,249.0,2984.0,932.0,2052.0,979.0,1073.0,252,2795.0,189.0,3152.0
2023,Q3,Jul,7,MEA,Pro Plan,Pro Plan,Partner,SaaS,3047.0,192.0,2855.0,974.0,1881.0,1014.0,867.0,86,2674.0,181.0,2372.0
2023,Q3,Jul,7,MEA,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,3779.0,203.0,3576.0,744.0,2832.0,1308.0,1524.0,285,4002.0,-426.0,2972.0
2023,Q3,Aug,8,North America,Starter Plan,Starter Plan,Partner,SaaS,795.0,61.0,734.0,190.0,544.0,209.0,335.0,381,732.0,2.0,615.0
2023,Q3,Aug,8,North America,Pro Plan,Pro Plan,Partner,SaaS,600.0,38.0,562.0,185.0,377.0,168.0,209.0,264,626.0,-64.0,541.0
2023,Q3,Aug,8,North America,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,2420.0,89.0,2331.0,798.0,1533.0,771.0,762.0,315,2332.0,-1.0,2389.0
2023,Q3,Aug,8,Europe,Starter Plan,Starter Plan,Marketplace,SaaS,2332.0,145.0,2187.0,539.0,1648.0,661.0,987.0,292,2355.0,-168.0,2040.0
2023,Q3,Aug,8,Europe,Pro Plan,Pro Plan,Self-Serve,SaaS,1943.0,73.0,1870.0,377.0,1493.0,614.0,879.0,391,1739.0,131.0,1657.0
2023,Q3,Aug,8,Europe,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,2907.0,159.0,2748.0,861.0,1887.0,810.0,1077.0,394,2956.0,-208.0,2691.0
2023,Q3,Aug,8,APAC,Starter Plan,Starter Plan,Direct Sales,SaaS,2419.0,95.0,2324.0,772.0,1552.0,733.0,819.0,162,2457.0,-133.0,2310.0
2023,Q3,Aug,8,APAC,Pro Plan,Pro Plan,Marketplace,SaaS,1272.0,43.0,1229.0,361.0,868.0,402.0,466.0,409,1272.0,-43.0,1239.0
2023,Q3,Aug,8,APAC,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,1496.0,100.0,1396.0,449.0,947.0,435.0,512.0,434,1312.0,84.0,1238.0
2023,Q3,Aug,8,LATAM,Starter Plan,Starter Plan,Marketplace,SaaS,2662.0,116.0,2546.0,747.0,1799.0,708.0,1091.0,58,2319.0,227.0,2445.0
2023,Q3,Aug,8,LATAM,Pro Plan,Pro Plan,Partner,SaaS,3903.0,172.0,3731.0,816.0,2915.0,1178.0,1737.0,53,3432.0,299.0,3001.0
2023,Q3,Aug,8,LATAM,Enterprise Plan,Enterprise Plan,Partner,SaaS,1697.0,77.0,1620.0,518.0,1102.0,648.0,454.0,258,1740.0,-120.0,1457.0
2023,Q3,Aug,8,MEA,Starter Plan,Starter Plan,Partner,SaaS,696.0,48.0,648.0,137.0,511.0,208.0,303.0,136,703.0,-55.0,677.0
2023,Q3,Aug,8,MEA,Pro Plan,Pro Plan,Direct Sales,SaaS,927.0,63.0,864.0,205.0,659.0,316.0,343.0,249,918.0,-54.0,700.0
2023,Q3,Aug,8,MEA,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,3074.0,107.0,2967.0,890.0,2077.0,835.0,1242.0,225,3298.0,-331.0,3207.0
2023,Q3,Sep,9,North America,Starter Plan,Starter Plan,Partner,SaaS,2702.0,87.0,2615.0,891.0,1724.0,858.0,866.0,163,2721.0,-106.0,2248.0
2023,Q3,Sep,9,North America,Pro Plan,Pro Plan,Direct Sales,SaaS,3523.0,144.0,3379.0,733.0,2646.0,1166.0,1480.0,196,3166.0,213.0,2983.0
2023,Q3,Sep,9,North America,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,1885.0,79.0,1806.0,624.0,1182.0,609.0,573.0,360,1899.0,-93.0,1529.0
2023,Q3,Sep,9,Europe,Starter Plan,Starter Plan,Direct Sales,SaaS,1371.0,75.0,1296.0,393.0,903.0,390.0,513.0,486,1383.0,-87.0,1060.0
2023,Q3,Sep,9,Europe,Pro Plan,Pro Plan,Self-Serve,SaaS,2756.0,179.0,2577.0,821.0,1756.0,693.0,1063.0,154,2876.0,-299.0,2671.0
2023,Q3,Sep,9,Europe,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,3319.0,172.0,3147.0,720.0,2427.0,1112.0,1315.0,211,2926.0,221.0,3366.0
2023,Q3,Sep,9,APAC,Starter Plan,Starter Plan,Marketplace,SaaS,2973.0,172.0,2801.0,788.0,2013.0,906.0,1107.0,305,2856.0,-55.0,2513.0
2023,Q3,Sep,9,APAC,Pro Plan,Pro Plan,Marketplace,SaaS,1464.0,105.0,1359.0,458.0,901.0,453.0,448.0,80,1269.0,90.0,1208.0
2023,Q3,Sep,9,APAC,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,2396.0,126.0,2270.0,718.0,1552.0,740.0,812.0,380,2484.0,-214.0,2238.0
2023,Q3,Sep,9,LATAM,Starter Plan,Starter Plan,Self-Serve,SaaS,3216.0,135.0,3081.0,949.0,2132.0,1074.0,1058.0,292,3036.0,45.0,2949.0
2023,Q3,Sep,9,LATAM,Pro Plan,Pro Plan,Marketplace,SaaS,3180.0,120.0,3060.0,742.0,2318.0,953.0,1365.0,194,2819.0,241.0,3053.0
2023,Q3,Sep,9,LATAM,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,3423.0,125.0,3298.0,1092.0,2206.0,924.0,1282.0,268,3040.0,258.0,3203.0
2023,Q3,Sep,9,MEA,Starter Plan,Starter Plan,Marketplace,SaaS,2803.0,158.0,2645.0,807.0,1838.0,763.0,1075.0,214,2733.0,-88.0,2172.0
2023,Q3,Sep,9,MEA,Pro Plan,Pro Plan,Partner,SaaS,2795.0,214.0,2581.0,838.0,1743.0,826.0,917.0,337,2528.0,53.0,2640.0
2023,Q3,Sep,9,MEA,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,3377.0,235.0,3142.0,656.0,2486.0,1076.0,1410.0,288,3335.0,-193.0,3300.0
2023,Q4,Oct,10,North America,Starter Plan,Starter Plan,Direct Sales,SaaS,3806.0,297.0,3509.0,753.0,2756.0,1259.0,1497.0,289,3304.0,205.0,3361.0
2023,Q4,Oct,10,North America,Pro Plan,Pro Plan,Partner,SaaS,2495.0,193.0,2302.0,653.0,1649.0,768.0,881.0,385,2460.0,-158.0,2240.0
2023,Q4,Oct,10,North America,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,2959.0,152.0,2807.0,605.0,2202.0,1035.0,1167.0,297,2838.0,-31.0,2799.0
2023,Q4,Oct,10,Europe,Starter Plan,Starter Plan,Marketplace,SaaS,3767.0,283.0,3484.0,984.0,2500.0,1392.0,1108.0,430,3452.0,32.0,3449.0
2023,Q4,Oct,10,Europe,Pro Plan,Pro Plan,Self-Serve,SaaS,2629.0,153.0,2476.0,575.0,1901.0,903.0,998.0,466,2367.0,109.0,2695.0
2023,Q4,Oct,10,Europe,Enterprise Plan,Enterprise Plan,Marketplace,SaaS,3859.0,116.0,3743.0,768.0,2975.0,1095.0,1880.0,57,3480.0,263.0,3994.0
2023,Q4,Oct,10,APAC,Starter Plan,Starter Plan,Direct Sales,SaaS,1551.0,64.0,1487.0,488.0,999.0,377.0,622.0,419,1564.0,-77.0,1313.0
2023,Q4,Oct,10,APAC,Pro Plan,Pro Plan,Partner,SaaS,830.0,44.0,786.0,176.0,610.0,228.0,382.0,450,751.0,35.0,689.0
2023,Q4,Oct,10,APAC,Enterprise Plan,Enterprise Plan,Self-Serve,SaaS,822.0,41.0,781.0,264.0,517.0,281.0,236.0,375,839.0,-58.0,665.0
2023,Q4,Oct,10,LATAM,Starter Plan,Starter Plan,Direct Sales,SaaS,2583.0,116.0,2467.0,764.0,1703.0,830.0,873.0,85,2251.0,216.0,2544.0
2023,Q4,Oct,10,LATAM,Pro Plan,Pro Plan,Self-Serve,SaaS,3579.0,185.0,3394.0,1152.0,2242.0,910.0,1332.0,396,3613.0,-219.0,3580.0
2023,Q4,Oct,10,LATAM,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,2719.0,168.0,2551.0,531.0,2020.0,838.0,1182.0,193,2613.0,-62.0,2291.0
2023,Q4,Oct,10,MEA,Starter Plan,Starter Plan,Partner,SaaS,1036.0,66.0,970.0,339.0,631.0,384.0,247.0,388,996.0,-26.0,802.0
2023,Q4,Oct,10,MEA,Pro Plan,Pro Plan,Marketplace,SaaS,1514.0,75.0,1439.0,316.0,1123.0,378.0,745.0,307,1311.0,128.0,1324.0
2023,Q4,Oct,10,MEA,Enterprise Plan,Enterprise Plan,Direct Sales,SaaS,1895.0,98.0,1797.0,548.0,1249.0,655.0,594.0,266,1696.0,101.0,1651.0
2023,Q4,Nov,11,North America,Starter Plan,Starter Plan,Partner,SaaS,2464.0,197.0,2267.0,632.0,1635.0,649.0,986.0,169,2255.0,12.0,2279.0
